objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,img_001.png,,,Lucio and Violeta's Wedding,,1982-06-06,House wedding of Lucio and Violeta,weddings; citizens,"Angono, Rizal",14.53865563,121.1590413,From the Perez Family Archives,,Image;StillImage,image/png,,,
coll002,img_002.png,,,Lucio and Violeta's Wedding,,1982-06-06,House wedding of Lucio and Violeta,weddings; citizens,"Angono, Rizal",14.53865563,121.1590413,From the Perez Family Archives,,Image;StillImage,image/png,,,
coll003,img_003.png,,,Lucio and Violeta's Wedding,,1982-06-06,House wedding of Lucio and Violeta,weddings; citizens,"Angono, Rizal",14.53865563,121.1590413,From the Perez Family Archives,,Image;StillImage,image/png,,,
coll004,img_004.png,,,Lucio and Violeta's Wedding,,1982-06-06,House wedding of Lucio and Violeta,weddings; citizens,"Angono, Rizal",14.53865563,121.1590413,From the Perez Family Archives,,Image;StillImage,image/png,,,
coll005,img_005.png,,,Lucio and Violeta's Wedding,,1982-06-06,House wedding of Lucio and Violeta,weddings; citizens,"Angono, Rizal",14.53865563,121.1590413,From the Perez Family Archives,,Image;StillImage,image/png,,,
